Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Partial User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Collection Costs,Residential Processing Costs,Residential Depot/Transfer Costs,Residential Promotion & Education Costs,Interest on Municipal  Capital,Administration Costs,Total Gross Revenue,Year,TOTAL Reported and/or Calculated Marketed Tonnes,operation cost,Program efficiency,change of Households Serviced,change of Marketed Tonnes,Quadrant
48365,26,26,True,False,True,True,429,4,False,781384.5700000001,440364.81,327584.05000000005,13974.859999999999,663.91,51625.85,324593.48,2019,4180.464400000001,1600959.2800000003,0.00888173016700139,0.0,0.0,4
38256,52,52,True,False,True,False,601,4,False,1845541.0899999999,298410.92,750754.76,45483.06,11205.14,99258.3,210627.25999999998,2019,5551.27,2993965.0699999994,0.004867424520437852,0.0,0.0,4
24376,52,52,True,False,True,False,760,4,True,807678.15,571779.85,0.0,83050.98999999999,586.67,46002.22,554553.47,2019,5012.86,1425460.22,0.0077547697301803865,0.0,0.0,4
47297,52,52,True,True,False,False,878,4,True,1646334.8599999999,850296.01,284223.33,113584.7,14936.33,108521.53,419431.65,2019,7393.499999999999,2889375.73,0.006471989670819494,0.0,0.0,4
15237,26,52,True,True,False,False,8,5,True,572703.8799999999,221176.49,40852.770000000004,1963.1,973.4,26700.23,93052.72,2019,2075.63,861433.3699999999,0.006528343717793027,0.0,0.0,4
9630,26,52,True,True,False,True,41,5,False,369933.03,197586.68,0.0,11706.61,1017.63,17792.67,171251.26000000004,2019,993.22,585312.38,0.005283821791109236,0.0,0.0,4
13868,52,52,True,False,True,False,56,5,False,539271.65,0.0,8536.87,6443.96,406.13,17737.36,2299.3900000000003,2019,2867.2800000000007,565545.88,0.011149980973409523,0.0,0.0,4
10125,52,52,True,False,True,False,67,5,False,181582.0,0.0,0.0,19937.35,0.0,6444.33,0.0,2019,1347.1733959092533,188026.33,0.01964222110804445,0.0,0.0,4
3564,26,26,True,True,False,False,157,5,True,110882.99,0.0,37704.53,1283.65,0.0,4521.81,250.0,2019,391.4646115974365,153109.33000000002,0.007714600580625305,0.0,0.0,4
20472,52,52,False,False,False,True,214,5,True,897332.2,772959.41,20840.14,10756.92,504.77,52881.61,255085.94,2019,2751.5999999999995,1744013.3599999999,0.0043035116136486634,0.0,0.0,4
3188,52,52,True,False,True,True,223,5,False,122159.24,46636.16,54701.54,2463.42,2352.67,7540.7,800.41,2019,274.0,231037.64000000004,0.004045308975646066,0.0,0.0,4
1949,52,52,True,False,True,False,224,5,False,71841.44,0.0,0.0,3461.85,0.0,2328.34,210.0,2019,196.82810451351673,74169.78,0.008350692346077028,0.0,0.0,4
17991,26,52,True,False,True,False,233,5,False,416346.58,258234.15,0.0,7748.99,289.85,20673.99,171134.77,2019,2130.76,695254.72,0.008905349603342558,0.0,0.0,4
2493,52,52,True,True,False,True,272,5,False,90039.76,0.0,0.0,3150.0,0.0,2858.69,0.0,2019,311.7901161962606,92898.45,0.009490385268965902,0.0,0.0,4
3032,52,52,True,False,True,False,427,5,False,145216.74,51555.62,0.0,4279.1,0.0,6117.13,41727.25,2019,437.80999999999995,202889.49,0.005678686408970954,0.0,0.0,4
4336,52,52,True,False,True,False,524,5,True,252073.13,41019.46,11582.58,3816.73,0.0,9631.59,89207.8,2019,482.9026295663896,314306.76000000007,0.0046038450693930795,0.0,0.0,4
3822,52,52,True,False,True,False,565,5,False,195285.47,44298.34,19729.88,5519.3,767.31,8641.22,88951.02,2019,494.2108368167203,267954.91,0.005129083319034859,0.0,0.0,4
1052,26,26,False,False,False,True,613,5,False,50816.4,17023.06,0.0,0.0,0.0,2035.18,0.0,2019,131.44881180778845,69874.64,0.0053218988866674775,0.0,0.0,4
2495,52,52,True,False,True,True,696,5,True,125111.09,0.0,0.0,577.44,0.0,3782.2,201.75,2019,255.582644832942,128893.29,0.00619541846482727,0.0,0.0,4
4911,52,52,True,False,True,False,731,5,True,228384.38,7740.37,24966.93,0.0,0.0,7875.05,41367.85,2019,1049.3999999999999,268966.73,0.008440281549445637,0.0,0.0,4
1468,52,52,True,True,False,True,732,5,True,49976.1,17319.18,0.0,1250.0,0.0,2081.36,0.0,2019,190.20939315714202,69376.64,0.007616680618709292,0.0,0.0,4
767,52,52,True,True,False,False,754,5,False,33510.75,0.0,0.0,475.0,0.0,1029.07,0.0,2019,100.39736101583901,34539.82,0.008034128259780124,0.0,0.0,4
3361,26,26,True,False,True,False,885,5,False,80851.7,52170.1,7355.28,1489.3,0.0,4285.78,0.0,2019,441.47999999999996,144662.86,0.008420400071815494,0.0,0.0,4
4458,52,52,True,False,True,False,909,5,False,135453.88,53237.09,0.0,5356.75,0.0,5990.3,620.13,2019,447.85999999999996,194681.27,0.00725800059153145,0.0,0.0,4
512,26,26,False,False,False,False,923,5,False,29360.59,0.0,0.0,905.7,0.0,926.1,84.0,2019,44.94334914850541,30286.69,0.00500859464053749,0.0,0.0,4
7013,26,26,False,False,False,True,394,6,False,111214.08,217860.89,69142.05,3329.73,0.0,19810.94,25617.809999999998,2019,594.2199999999999,418027.96,0.004883376638022082,0.0,0.0,4
3650,26,26,False,False,False,True,414,6,True,204246.47,0.0,0.0,9811.62,1825.42,6918.97,11641.15,2019,165.57466674439706,211165.44,0.003681463808121224,0.0,0.0,4
5642,52,52,False,False,False,False,426,6,False,141463.36,0.0,21981.64,2500.0,0.0,5028.35,420.0,2019,463.4651825294747,168473.35,0.009598290411956187,0.0,0.0,4
17740,52,52,False,False,False,True,430,6,True,800286.82,635606.56,204513.48,12208.14,25712.28,70086.18,480.0,2019,2460.6196060451057,1710493.0399999998,0.003862582214489477,0.0,0.0,4
69,52,52,False,False,False,False,443,6,True,15369.13,0.0,0.0,0.0,0.0,461.07,0.0,2019,15.060000000000004,15830.199999999999,0.0020363415813819466,0.0,0.0,4
460,26,0,False,False,False,True,562,6,False,39797.59,0.0,6927.17,702.15,0.0,1436.85,0.0,2019,81.4729258961534,48161.60999999999,0.004019616088909044,0.0,0.0,4
