Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes,Quadrant,Previous_Target,Cluster_Labels,Cluster_Probabilities
56033,52,52,True,False,False,324,4,False,64988.06,14818.29,744094.01,2019,245393018075.52,4379437.44,0.0046422307441267,7376.43,4,7328.110000000001,4,0.0036886482929023735
48365,26,26,True,False,True,429,4,False,13974.86,663.91,324593.48,2019,77430395577.20001,1600959.2800000005,0.0088817301670013,4180.464400000001,4,4072.484733333334,2,0.052049312997051914
38256,52,52,True,False,False,601,4,False,45483.06,11205.14,210627.26,2019,114537127717.91998,2993965.07,0.0048674245204378,5551.27,4,5425.683333333333,4,0.006305897666906671
24376,52,52,True,False,False,760,4,True,83050.98999999999,586.67,554553.47,2019,34747018322.72,1425460.22,0.0077547697301803,5012.86,4,4842.23,3,0.0026497664310305992
47297,52,52,True,True,False,878,4,True,113584.7,14936.33,419431.65,2019,136658803901.81,2889375.73,0.0064719896708194,7393.499999999999,4,7260.63,6,0.03284511613577594
15237,26,52,True,True,False,8,5,True,1963.1,973.4,93052.72,2019,13125660258.69,861433.3699999999,0.006528343717793,2075.63,4,2059.59,6,0.15572557323309874
9630,26,52,True,True,True,41,5,False,11706.61,1017.63,171251.26000000004,2019,5636558219.4,585312.38,0.0052838217911092,993.22,4,1306.256666666667,0,0.5886635304366791
13868,52,52,True,False,False,56,5,False,6443.96,406.13,2299.3900000000003,2019,7842990263.84,565545.88,0.0111499809734095,2867.2800000000007,4,2692.0500000000006,4,0.017407441280636683
10125,52,52,True,False,False,67,5,False,19937.35,0.0,0.0,2019,1903766591.25,188026.33,0.0196422211080444,1347.1733959092533,4,1249.5337432399892,4,0.03110939271915955
3564,26,26,True,True,False,157,5,True,1283.65,0.0,250.0,2019,545681652.12,153109.33000000002,0.0077146005806253,391.4646115974365,4,358.6779484604722,6,1.0
20472,52,52,False,False,True,214,5,True,10756.92,504.77,255085.94,2019,35703441505.92,1744013.36,0.0043035116136486,2751.5999999999995,4,3119.4366666666665,1,0.03836130186875184
3188,52,52,True,False,True,223,5,False,2463.42,2352.67,800.41,2019,736547996.3200002,231037.64000000004,0.004045308975646,274.0,4,290.31,2,0.7451135077274381
1949,52,52,True,False,False,224,5,False,3461.85,0.0,210.0,2019,144556901.22,74169.78,0.008350692346077,196.82810451351676,4,186.15760990427896,4,0.29399705737138243
17991,26,52,True,False,False,233,5,False,7748.99,289.85,171134.77,2019,12508327667.52,695254.72,0.0089053496033425,2130.76,4,2221.766666666667,4,0.018871867937225794
2493,52,52,True,True,True,272,5,False,3150.0,0.0,0.0,2019,231595835.85,92898.45,0.0094903852689659,311.7901161962606,4,328.71678294102094,0,1.0
3032,52,52,True,False,False,427,5,False,4279.1,0.0,41727.25,2019,615160933.68,202889.49,0.0056786864089709,437.81,4,429.94000000000005,4,0.10303100395906874
4336,52,52,True,False,False,524,5,True,3816.73,0.0,89207.8,2019,1362834111.3600004,314306.76000000007,0.004603845069393,482.9026295663896,4,506.81269737433234,3,0.024806527212679938
3822,52,52,True,False,False,565,5,False,5519.3,767.31,88951.02,2019,1024123666.02,267954.91,0.0051290833190348,494.2108368167203,4,483.04874186759463,4,0.06772282643290332
1052,26,26,False,False,True,613,5,False,0.0,0.0,0.0,2019,73508121.28,69874.64,0.0053218988866674,131.44881180778845,4,148.90380568952494,2,1.0
2495,52,52,True,False,True,696,5,True,577.44,0.0,201.75,2019,321588758.55,128893.29,0.0061954184648272,255.582644832942,4,282.2908816109807,1,0.39823967002305255
